Cep_Inicial;Cep_Final;Peso_Inicial;Peso_Final;Valor1;Valor2;Valor3;Valor4;Valor5;Valor6;Valor7;Valor8;Valor9;Valor10;Valor_Adicional_Por_Kg;Prazo;
6400000;6499999;0.000;8.000;29.80;;;;;;;;;;;11;
6400000;6499999;8.001;16.000;39.80;;;;;;;;;;;11;
6400000;6499999;16.001;24.000;41.25;;;;;;;;;;;11;
6400000;6499999;24.001;32.000;41.25;;;;;;;;;;;11;
6400000;6499999;32.001;40.000;50.10;;;;;;;;;;;11;
6400000;6499999;40.001;48.000;50.10;;;;;;;;;;;11;
6400000;6499999;48.001;56.000;58.90;;;;;;;;;;;11;
6400000;6499999;56.001;64.000;58.90;;;;;;;;;;;11;
6400000;6499999;64.001;72.000;67.70;;;;;;;;;;;11;
6400000;6499999;72.001;80.000;67.70;;;;;;;;;;;11;
6400000;6499999;80.001;88.000;76.55;;;;;;;;;;;11;
6400000;6499999;88.001;96.000;76.55;;;;;;;;;;;11;
6400000;6499999;96.001;104.000;85.35;;;;;;;;;;;11;
6400000;6499999;104.001;112.000;85.35;;;;;;;;;;;11;
6400000;6499999;112.001;120.000;93.55;;;;;;;;;;;11;
6400000;6499999;120.001;128.000;93.55;;;;;;;;;;;11;
6400000;6499999;128.001;136.000;103.00;;;;;;;;;;;11;
6400000;6499999;136.001;144.000;103.00;;;;;;;;;;;11;
6400000;6499999;144.001;152.000;111.80;;;;;;;;;;;11;
6400000;6499999;152.001;160.000;111.80;;;;;;;;;;;11;
6400000;6499999;160.001;168.000;120.65;;;;;;;;;;;11;
6400000;6499999;168.001;176.000;120.65;;;;;;;;;;;11;
6400000;6499999;176.001;184.000;129.45;;;;;;;;;;;11;
6400000;6499999;184.001;192.000;129.45;;;;;;;;;;;11;
6400000;6499999;192.001;200.000;138.30;;;;;;;;;;;11;
11250000;11250000;0.000;8.000;29.80;;;;;;;;;;;11;
11250000;11250000;8.001;16.000;39.80;;;;;;;;;;;11;
11250000;11250000;16.001;24.000;41.25;;;;;;;;;;;11;
11250000;11250000;24.001;32.000;41.25;;;;;;;;;;;11;
11250000;11250000;32.001;40.000;50.10;;;;;;;;;;;11;
11250000;11250000;40.001;48.000;50.10;;;;;;;;;;;11;
11250000;11250000;48.001;56.000;58.90;;;;;;;;;;;11;
11250000;11250000;56.001;64.000;58.90;;;;;;;;;;;11;
11250000;11250000;64.001;72.000;67.70;;;;;;;;;;;11;
11250000;11250000;72.001;80.000;67.70;;;;;;;;;;;11;
11250000;11250000;80.001;88.000;76.55;;;;;;;;;;;11;
11250000;11250000;88.001;96.000;76.55;;;;;;;;;;;11;
11250000;11250000;96.001;104.000;85.35;;;;;;;;;;;11;
11250000;11250000;104.001;112.000;85.35;;;;;;;;;;;11;
11250000;11250000;112.001;120.000;93.55;;;;;;;;;;;11;
11250000;11250000;120.001;128.000;93.55;;;;;;;;;;;11;
11250000;11250000;128.001;136.000;103.00;;;;;;;;;;;11;
11250000;11250000;136.001;144.000;103.00;;;;;;;;;;;11;
11250000;11250000;144.001;152.000;111.80;;;;;;;;;;;11;
11250000;11250000;152.001;160.000;111.80;;;;;;;;;;;11;
11250000;11250000;160.001;168.000;120.65;;;;;;;;;;;11;
11250000;11250000;168.001;176.000;120.65;;;;;;;;;;;11;
11250000;11250000;176.001;184.000;129.45;;;;;;;;;;;11;
11250000;11250000;184.001;192.000;129.45;;;;;;;;;;;11;
11250000;11250000;192.001;200.000;138.30;;;;;;;;;;;11;
13000000;13139999;0.000;8.000;29.80;;;;;;;;;;;11;
13000000;13139999;8.001;16.000;39.80;;;;;;;;;;;11;
13000000;13139999;16.001;24.000;41.25;;;;;;;;;;;11;
13000000;13139999;24.001;32.000;41.25;;;;;;;;;;;11;
13000000;13139999;32.001;40.000;50.10;;;;;;;;;;;11;
13000000;13139999;40.001;48.000;50.10;;;;;;;;;;;11;
13000000;13139999;48.001;56.000;58.90;;;;;;;;;;;11;
13000000;13139999;56.001;64.000;58.90;;;;;;;;;;;11;
13000000;13139999;64.001;72.000;67.70;;;;;;;;;;;11;
13000000;13139999;72.001;80.000;67.70;;;;;;;;;;;11;
13000000;13139999;80.001;88.000;76.55;;;;;;;;;;;11;
13000000;13139999;88.001;96.000;76.55;;;;;;;;;;;11;
13000000;13139999;96.001;104.000;85.35;;;;;;;;;;;11;
13000000;13139999;104.001;112.000;85.35;;;;;;;;;;;11;
13000000;13139999;112.001;120.000;93.55;;;;;;;;;;;11;
13000000;13139999;120.001;128.000;93.55;;;;;;;;;;;11;
13000000;13139999;128.001;136.000;103.00;;;;;;;;;;;11;
13000000;13139999;136.001;144.000;103.00;;;;;;;;;;;11;
13000000;13139999;144.001;152.000;111.80;;;;;;;;;;;11;
13000000;13139999;152.001;160.000;111.80;;;;;;;;;;;11;
13000000;13139999;160.001;168.000;120.65;;;;;;;;;;;11;
13000000;13139999;168.001;176.000;120.65;;;;;;;;;;;11;
13000000;13139999;176.001;184.000;129.45;;;;;;;;;;;11;
13000000;13139999;184.001;192.000;129.45;;;;;;;;;;;11;
13000000;13139999;192.001;200.000;138.30;;;;;;;;;;;11;
6300000;6399999;0.000;8.000;29.80;;;;;;;;;;;11;
6300000;6399999;8.001;16.000;39.80;;;;;;;;;;;11;
6300000;6399999;16.001;24.000;41.25;;;;;;;;;;;11;
6300000;6399999;24.001;32.000;41.25;;;;;;;;;;;11;
6300000;6399999;32.001;40.000;50.10;;;;;;;;;;;11;
6300000;6399999;40.001;48.000;50.10;;;;;;;;;;;11;
6300000;6399999;48.001;56.000;58.90;;;;;;;;;;;11;
6300000;6399999;56.001;64.000;58.90;;;;;;;;;;;11;
6300000;6399999;64.001;72.000;67.70;;;;;;;;;;;11;
6300000;6399999;72.001;80.000;67.70;;;;;;;;;;;11;
6300000;6399999;80.001;88.000;76.55;;;;;;;;;;;11;
6300000;6399999;88.001;96.000;76.55;;;;;;;;;;;11;
6300000;6399999;96.001;104.000;85.35;;;;;;;;;;;11;
6300000;6399999;104.001;112.000;85.35;;;;;;;;;;;11;
